severity,role,nodeKey,kind,message
high,tank,tank_s1_s2_PURE_TANK,nerf,"« Pur tank » apparaît souvent dans des builds au-dessus du percentile cible (42% de builds marqués OP). Envisager : augmenter powerCost, réduire ratios/durées/chances, ou renforcer les exclusions d’arbre."
high,tank,tank_s1_s3_BONUS_DEF,nerf,"« Défense » apparaît souvent dans des builds au-dessus du percentile cible (44% de builds marqués OP). Envisager : augmenter powerCost, réduire ratios/durées/chances, ou renforcer les exclusions d’arbre."
high,tank,tank_s1_s4_LIGHT_REVIVE,nerf,"« Résurrection légère » apparaît souvent dans des builds au-dessus du percentile cible (75% de builds marqués OP). Envisager : augmenter powerCost, réduire ratios/durées/chances, ou renforcer les exclusions d’arbre."
high,tank,tank_s2_mode_active,nerf,"« Compétence 2 active » apparaît souvent dans des builds au-dessus du percentile cible (54% de builds marqués OP). Envisager : augmenter powerCost, réduire ratios/durées/chances, ou renforcer les exclusions d’arbre."
high,tank,tank_s2_act_AOE_HEAL,nerf,"« Soin de zone » apparaît souvent dans des builds au-dessus du percentile cible (75% de builds marqués OP). Envisager : augmenter powerCost, réduire ratios/durées/chances, ou renforcer les exclusions d’arbre."
high,tank,tank_s1_s2_SUSTAIN,nerf,"« Soutien » apparaît souvent dans des builds au-dessus du percentile cible (56% de builds marqués OP). Envisager : augmenter powerCost, réduire ratios/durées/chances, ou renforcer les exclusions d’arbre."
high,tank,tank_s1_s3_ALLY_HEAL,nerf,"« Soin allié » apparaît souvent dans des builds au-dessus du percentile cible (63% de builds marqués OP). Envisager : augmenter powerCost, réduire ratios/durées/chances, ou renforcer les exclusions d’arbre."
high,tank,tank_s1_s4_MASSIVE_AOE_SHIELD,nerf,"« Bouclier de zone » apparaît souvent dans des builds au-dessus du percentile cible (49% de builds marqués OP). Envisager : augmenter powerCost, réduire ratios/durées/chances, ou renforcer les exclusions d’arbre."
high,tank,tank_s1_s2_CONTROL,nerf,"« Contrôle » apparaît souvent dans des builds au-dessus du percentile cible (76% de builds marqués OP). Envisager : augmenter powerCost, réduire ratios/durées/chances, ou renforcer les exclusions d’arbre."
high,tank,tank_s1_s3_AOE_SILENCE_1T,nerf,"« Silence 1 tour » apparaît souvent dans des builds au-dessus du percentile cible (73% de builds marqués OP). Envisager : augmenter powerCost, réduire ratios/durées/chances, ou renforcer les exclusions d’arbre."
high,tank,tank_s1_s4_BIG_DAMAGE_REDUCTION_1T,nerf,"« Réduction dégâts massives » apparaît souvent dans des builds au-dessus du percentile cible (51% de builds marqués OP). Envisager : augmenter powerCost, réduire ratios/durées/chances, ou renforcer les exclusions d’arbre."
high,tank,tank_s2_act_CLEANSE,nerf,"« Purification » apparaît souvent dans des builds au-dessus du percentile cible (41% de builds marqués OP). Envisager : augmenter powerCost, réduire ratios/durées/chances, ou renforcer les exclusions d’arbre."
high,tank,tank_s2_act_ANTI_BUFF,nerf,"« Anti-buff » apparaît souvent dans des builds au-dessus du percentile cible (44% de builds marqués OP). Envisager : augmenter powerCost, réduire ratios/durées/chances, ou renforcer les exclusions d’arbre."
high,tank,tank_s1_s1_AOE_CONTROL,nerf,"« Contrôle de zone » apparaît souvent dans des builds au-dessus du percentile cible (99% de builds marqués OP). Envisager : augmenter powerCost, réduire ratios/durées/chances, ou renforcer les exclusions d’arbre."
high,tank,tank_s1_s3_SHIELD_HP_SCALING,nerf,"« Bouclier % PV » apparaît souvent dans des builds au-dessus du percentile cible (39% de builds marqués OP). Envisager : augmenter powerCost, réduire ratios/durées/chances, ou renforcer les exclusions d’arbre."
high,tank,tank_s2_mode_passive,nerf,"« Compétence 2 passive » apparaît souvent dans des builds au-dessus du percentile cible (62% de builds marqués OP). Envisager : augmenter powerCost, réduire ratios/durées/chances, ou renforcer les exclusions d’arbre."
high,tank,tank_s2_pas_ATB_ON_ALLY_DEATH,nerf,"« ATB si allié tombe » apparaît souvent dans des builds au-dessus du percentile cible (74% de builds marqués OP). Envisager : augmenter powerCost, réduire ratios/durées/chances, ou renforcer les exclusions d’arbre."
high,tank,tank_s2_pas_ATB_ON_RECEIVE_DAMAGE,nerf,"« ATB sous dégâts » apparaît souvent dans des builds au-dessus du percentile cible (49% de builds marqués OP). Envisager : augmenter powerCost, réduire ratios/durées/chances, ou renforcer les exclusions d’arbre."
high,tank,tank_s1_s1_PROVOKE,nerf,"« Provocation » apparaît souvent dans des builds au-dessus du percentile cible (89% de builds marqués OP). Envisager : augmenter powerCost, réduire ratios/durées/chances, ou renforcer les exclusions d’arbre."
